news_headline,news_article,news_category
Old video of Olympic gold medallist Neeraj dancing on Daler Mehndi song goes viral,"An old video of Olympic gold medallist Neeraj Chopra dancing on Daler Mehndi's song 'Sajan Mere Satrangiya' has gone viral on social media. ""Desi Golden Boy,"" a Twitter user commented. ""He is making Bollywood insecure with his moves,"" another wrote. ""His dance moves are as good as his throw,"" another tweet read.",sports
All Indians' feelings were linked with Neeraj when tricolour rose at Olympics: Prez,"President Ram Nath Kovind on Saturday recalled the moment the Indian national flag was raised at the Tokyo Olympics when javelin thrower Neeraj Chopra won the gold medal. ""After many years, when our tricolour was held high and our national anthem was played, at that time feelings of all countrymen were connected with Neeraj Chopra,"" said Kovind while addressing Olympians.",sports
"President hosts 'high tea' for Indian Olympians who went to Tokyo, shares pics","President Ram Nath Kovind on Saturday hosted 'high tea' for the Indian contingent of the Tokyo Olympics 2020 at the Rashtrapati Bhavan Cultural Centre. The President shared pictures showing him interacting with the Olympians and said, ""The entire country is proud of our Olympians for bringing glory to the nation.""",sports
"Vinesh apologises to WFI, may still be barred from World Championships: Report","Wrestler Vinesh Phogat sent her apology to Wrestling Federation of India, which had suspended her on grounds of indiscipline during Tokyo Olympics, said PTI. However, the parent body may still not allow her to compete in upcoming World Championships, the report added. She was suspended for not training with Indian teammates and for sporting singlet of her personal sponsor.",sports
"Man wearing Team India jersey invades ground, dragged away by 4 security men",A spectator invaded the pitch during the third day of the Lord's Test between England and India. The fan was wearing Team India jersey with name 'Jarvo' and number 69. He was seen gesturing to the security that he was an Indian player. He was then dragged away from the ground by four security men.,sports
"HC allows deaf athlete Sameeha, dropped by SAI, to compete in world championship",The Madras High Court has directed All India Sports Council of the Deaf (AISCD) to permit 18-year-old athlete Sameeha Barwin to participate in the World Deaf Athletics Championships to be held in Poland from August 23-28. Barwin was earlier dropped by Sports Authority of India as it was allegedly unwilling to send a female athlete alone with five male athletes.,sports
"Fans call man sitting with Lloyd at Lord's lookalike of Big B, pic goes viral","A picture of a man sitting with former West Indies captain Clive Lloyd at the Lord's Cricket Ground watching England-India Test has gone viral on social media with the fans calling him actor Amitabh Bachchan's lookalike. ""Clive Lloyd spotted with British Amitabh Bachchan,"" a fan commented. ""Gulabo Sitabo’s 
@SrBachchan in a suit at the Lord’s Cricket Ground,"" wrote another.",sports
"Unmukt relocates to San Francisco, signs multi-year agreement with Major League Cricket","India's 2012 Under-19 World Cup-winning captain Unmukt Chand, who retired from Indian cricket on Friday, has relocated to the San Francisco Bay Area in US' California and has signed a multi-year agreement with Major League Cricket. He will represent Silicon Valley Strikers this season in the Minor League Cricket, which will provide a pathway to Major League Cricket.",sports
I cry with laughter when I see them all going together: Vaughan on India's reviews,"Talking about India's review calls in the ongoing Lord's Test, former England captain Michael Vaughan said, ""I cry with laughter when I see them all going together. It's a little bit like government around the world at the minute."" He added, ""They need changing in their parliament to make decisions on the reviews.""",sports
Joe Root smashes 180* as England lead India by 27 runs after Day 3,"England captain Joe Root smashed an unbeaten 180 off 321 deliveries as India dismissed England for 391 on the third day of the Lord's Test. Indian pacers Mohammed Siraj, Ishant Sharma and Mohammad Shami took four, three and two wickets respectively. Joe Root has now slammed 22 Test hundreds. India's second innings will begin tomorrow.",sports
"England fans throw champagne corks at KL Rahul, Kohli asks him to throw them back","England fans threw champagne corks at India batsman KL Rahul while he was fielding in the deep during the third day of the Lord's Test. Team India captain Virat Kohli was seen gesturing Rahul to throw them back at the crowd. India have complained to the umpires about the incident. ""Absolutely uncalled for,"" a fan tweeted as pictures surfaced online.",sports
He thought he was still batting on Day 1: Dasgupta on Rahul's early dismissal,"On Team India opener KL Rahul's early dismissal on second day of second England-India Test, ex-India wicketkeeper-batsman Deep Dasgupta said that Rahul thought he was still batting on first day. ""You start a day on zero irrespective of whether you are batting on 100 or not...Rahul was guilty of not doing that,"" he added. Rahul scored 129 runs.
",sports
India won't lose 1 ounce of sleep if they see Sibley on scoreboard: Vaughan,"Ex-England captain Michael Vaughan has criticised England opener Dom Sibley for his recent performances, stating that he may not be good enough for international cricket. ""Sibley has reached his ability level...India won't lose one ounce of sleep if they see him on the scoreboard,"" Vaughan added. Sibley has crossed the fifty-run mark four times in his last 25 Test innings. ",sports
"Sometimes it works, sometimes it doesn't: Pant on India losing reviews vs Eng","Talking about India losing reviews against England, wicketkeeper-batsman Rishabh Pant said that they took the reviews thinking it'll hit the stumps. ""We can only imagine what might happen and we are taking our chances most of the time. Sometimes it works, sometimes it doesn't,"" he stated. Kohli took two unsuccessful reviews in succession on Day 2. ",sports
"Bowling hasn't been bad, it's just that Root has been better: Wasim Jaffer","Punjab Kings batting coach Wasim Jaffer praised England captain Joe Root for his 22nd Test hundred against India at Lord's. ""The bowling hasn't been bad. It's just that Root has been better. Just a class act rising to the occasion,"" wrote Wasim on Twitter. This is Root's fifth Test century of the year and second consecutive in series against India.",sports
